response_id,duration_ms,memory_utilization_percentage,total_memory,cpu_total_time_ms,total_network_bytes,billed_mb_ms,invoke_cost_gb_per_second,cold_start,@ptr,init_duration_ms
490683c9-2e2f-4b32-9532-3c0a2e7215cb,2230,19,1024,1040,194438,2284544,2.2845,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEAAYAQ==,
d1b38c8c-c632-45e0-954c-36e7a7fa279a,4762,19,1024,1780,65535,4877312,4.8773,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuMU50ABkMtN/AAAAKyIAEo3vWotPYwMN6xrbT2MDgLQLheSIk7UPomGAAQAhgB,
bb5142a5-262a-4687-8b2c-9405b8fa35ad,10854,19,1024,3690,128967,11115520,11.1155,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuMU50ABkMtN/AAAAKyIAEo3vWotPYwMN6xrbT2MDgLQLheSIk7UPomGAAQARgB,
6a01039d-5e9e-4e24-8ee0-93044cccbe8f,13744,19,1024,4790,129383,14074880,14.0749,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuMU50ABkMtN/AAAAKyIAEo3vWotPYwMN6xrbT2MDgLQLheSIk7UPomGAAQABgB,
d676f0f0-df27-4ed0-85cd-0a81b6f83aba,2562,19,1024,1100,204011,2624512,2.6245,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAISNRoYAgY90g6xAAAAAptqKaQABkMtMuAAAAcSIAEogreltPYwMMfNq7T2MDgLQIJfSPU9UKcoGAAQAhgB,
19b326e1-59e2-43cb-ac5d-3ca219fbdccb,13687,19,1024,4660,140330,14016512,14.0165,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAISNRoYAgY90g6xAAAAAptqKaQABkMtMuAAAAcSIAEogreltPYwMMfNq7T2MDgLQIJfSPU9UKcoGAAQARgB,
6ea3f8ca-2c65-45ed-82c2-290298784c8f,11048,19,1024,3950,128006,11314176,11.3142,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQBhgB,
37c27b66-0de2-4391-9b9f-e91b504313ed,2168,19,1024,990,204119,2221056,2.2211,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQLAEABkMtMHAAAANiIAEoufWmtPYwMO6Zp7T2MDgDQN0ZSOUoUNgUGAAQAhgB,
86a5e14c-0488-4f86-888e-7f4cf13dec9d,10857,19,1024,3760,141304,11118592,11.1186,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQBRgB,
da01e234-ff6c-491d-bf63-f8a018e3a955,4615,15,1024,1610,53500,4726784,4.7268,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQLAEABkMtMHAAAANiIAEoufWmtPYwMO6Zp7T2MDgDQN0ZSOUoUNgUGAAQARgB,
21f70a9b-8894-4db9-9680-887d1a82e056,2239,19,1024,1060,203412,2293760,2.2938,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAQSNRoYAgY+3PaWAAAAAFKQLAEABkMtMHAAAANiIAEoufWmtPYwMO6Zp7T2MDgDQN0ZSOUoUNgUGAAQABgB,
5fd1ea16-5936-4ec0-a548-df82311aaf59,11356,19,1024,4350,129435,11629568,11.6296,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAESNRoYAgXzn9uEAAAABDiBbhkABkMtMIAAAAJCIAEoiK+ltPYwMLWyqbT2MDgEQLAiSNYrUMkXGAAQARgB,
d225b23e-6c89-4fac-ac17-b9836242ade8,4610,15,1024,1620,53591,4721664,4.7217,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQBBgB,
7628498d-c5a2-4120-a679-585b7593c107,4689,19,1024,1590,65018,4802560,4.8026,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQAxgB,
719e58e3-f742-4c18-99aa-62edcc1a438a,14081,19,1024,5170,131868,14419968,14.42,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQAhgB,
de524dcb-128c-4f9a-9fe3-b64800b5a92e,4665,15,1024,1660,66789,4777984,4.778,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/UWf8ABkMtMHAAAACSIAEoqaeltPYwMLO8prT2MDgEQLUiSIksUPwXGAAQAxgB,
4ee4bb41-5702-4651-93b2-c333c21020eb,10857,19,1024,3880,130597,11118592,11.1186,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQARgB,
6c126d4e-625a-4816-9488-4f651d0679ed,11215,19,1024,4240,128898,11485184,11.4852,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNRoYAgZASn6JAAAAAJ/UWf8ABkMtMHAAAACSIAEoqaeltPYwMLO8prT2MDgEQLUiSIksUPwXGAAQAhgB,
5d804669-d6f5-42c4-a311-cd68f7039515,11250,15,1024,4520,146179,11521024,11.521,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAUSNRoYAgYrFDQ9AAAAAuckU3sABkMtMrAAAAHSIAEoldultPYwMN2WprT2MDgCQJ0RSKwmUJ8SGAAQARgB,
e9fd13ab-e0fb-4613-9b41-24e36f162f7d,4927,19,1024,1870,56660,5046272,5.0463,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuLgoIABkMtNNAAAAKyIAEoi9ultPYwMPOIprT2MDgDQNoZSJEoUIQUGAAQAhgB,
8bc30b5e-3332-4910-bfbd-c4fb6900619d,2307,19,1024,1180,208991,2363392,2.3634,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuLgoIABkMtNNAAAAKyIAEoi9ultPYwMPOIprT2MDgDQNoZSJEoUIQUGAAQARgB,
0fe5066c-185c-4f81-8891-19021c120ae7,2593,19,1024,1260,208819,2656256,2.6563,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAUSNRoYAgYrFDQ9AAAAAuckU3sABkMtMrAAAAHSIAEoldultPYwMN2WprT2MDgCQJ0RSKwmUJ8SGAAQABgB,
6b208665-2c04-4535-b58f-c347476a0805,4634,19,1024,1600,71457,4746240,4.7462,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuLgoIABkMtNNAAAAKyIAEoi9ultPYwMPOIprT2MDgDQNoZSJEoUIQUGAAQABgB,
69fc33a1-d625-459e-9f93-124213c05d9f,4852,19,1024,1890,65420,4969472,4.9695,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpt5SQABkMtMuAAAAKSIAEohtWltPYwMImrp7T2MDgHQJ88SLcwUKgcGAAQABgB,
